name,age,nationality,position,overall,potential,pace,shooting,passing,dribbling,defending,physical,base_value,base_salary
Neymar Jr,31,Brasil,ATT,91,91,91,83,85,95,36,63,120000000,2500000
Erling Haaland,23,Noruega,ATT,91,95,89,93,66,80,45,88,180000000,3500000
Kevin De Bruyne,32,Bélgica,MID,91,91,76,86,94,88,64,78,110000000,2800000
Virgil van Dijk,32,Países Baixos,DEF,90,90,85,60,71,72,91,86,75000000,2200000
Alisson,31,Brasil,GK,90,90,87,10,25,43,11,85,70000000,2000000
Rodri,27,Espanha,MID,89,92,68,72,86,80,87,83,100000000,2400000
Mohamed Salah,31,Egito,ATT,89,89,95,86,81,90,45,75,100000000,2400000
Kylian Mbappé,24,França,ATT,91,95,97,89,80,92,39,76,180000000,3500000
Robert Lewandowski,35,Polônia,ATT,89,89,78,92,79,86,44,82,45000000,1800000
Bruno Fernandes,29,Portugal,MID,88,88,78,84,87,85,64,78,90000000,2200000 